"상태","업체명","식별번호","규격","2025-12-17","2025-12-24","2025-12-26","2025-12-30","2025-12-31","2026-01-02","변동액","계약종료일"
"UP","주식회사 에이텍컴퓨터","26060433","데스크톱컴퓨터, 에이텍컴퓨터, A5SC-5NBDN, Intel Core Ultra 5 235(3.4GHz)","","","1162000","1162000","1162000","1383000","221000","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26060420","데스크톱컴퓨터, 에이텍컴퓨터, A5TC-5NBDN, Intel Core Ultra 5 235(3.4GHz)","","","1162000","1162000","1162000","1383000","221000","2029.09.30"
"UP","주식회사 대우루컴즈","26062334","데스크톱컴퓨터, 대우루컴즈, DS38AA-226520, Intel Core Ultra 5 225(3.3GHz)","","","1168000","1167430","1167430","1389000","221570","2029.09.30"
"UP","주식회사 대우루컴즈","26062345","데스크톱컴퓨터, 대우루컴즈, DT38AB-226520, Intel Core Ultra 5 225(3.3GHz)","","","1168000","1168000","1168000","1389000","221000","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26060440","데스크톱컴퓨터, 에이텍컴퓨터, A5TC-3NBDF, Intel Core Ultra 5 225(3.3GHz)","","","1168000","1168000","1168000","1389000","221000","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26060432","데스크톱컴퓨터, 에이텍컴퓨터, A5SC-3NBDF, Intel Core Ultra 5 225(3.3GHz)","","","1168000","1168000","1168000","1389000","221000","2029.09.30"
"SAME","주식회사 삼보컴퓨터","26063772","데스크톱컴퓨터, 삼보컴퓨터, DT281-GD51E-001, Intel Core Ultra 5 235(3.4GHz)","","","1180000","","",,"0","2029.09.30"
"SAME","주식회사 삼보컴퓨터","26063750","데스크톱컴퓨터, 삼보컴퓨터, DG481-GD51E-001, Intel Core Ultra 5 235(3.4GHz)","","","1180000","","",,"0","2029.09.30"
"SAME","주식회사 삼보컴퓨터","26063748","데스크톱컴퓨터, 삼보컴퓨터, DG481-GD50E-002, Intel Core Ultra 5 225(3.3GHz)","","","1186000","","",,"0","2029.09.30"
"SAME","주식회사 삼보컴퓨터","26063770","데스크톱컴퓨터, 삼보컴퓨터, DT281-GD50E-002, Intel Core Ultra 5 225(3.3GHz)","","","1186000","","",,"0","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26017844","데스크톱컴퓨터, 에이텍컴퓨터, A4TQ-5NCDF, Intel Core i5 14500(2.6GHz)","","","1215000","1215000","1215000","1624000","409000","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26023409","검색결과1,869건판매량순낮은가격순평점순최신등록순납품사례많은순","","","1215000","1214700","1215000","1624000","409000","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26023403","데스크톱컴퓨터, 에이텍컴퓨터, A4TQ-7NCDN, Intel Core i7-14700(2.1GHz)","","","1242000","1241200","1241200","1749000","507800","2029.09.30"
"UP","주식회사 대우루컴즈","26062337","데스크톱컴퓨터, 대우루컴즈, DS38AA-236520, Intel Core Ultra 5 235(3.4GHz)","","","1248000","1248000","1248000","1469000","221000","2029.09.30"
"UP","주식회사 대우루컴즈","26062348","데스크톱컴퓨터, 대우루컴즈, DT38AB-236520, Intel Core Ultra 5 235(3.4GHz)","","","1248000","1248000","1248000","1469000","221000","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26060442","데스크톱컴퓨터, 에이텍컴퓨터, A5TC-5NBDF, Intel Core Ultra 5 235(3.4GHz)","","","1248000","1248000","1248000","1469000","221000","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26060435","데스크톱컴퓨터, 에이텍컴퓨터, A5SC-5NBDF, Intel Core Ultra 5 235(3.4GHz)","","","1248000","1248000","1248000","1469000","221000","2029.09.30"
"UP","주식회사 대우루컴즈","26062335","데스크톱컴퓨터, 대우루컴즈, DS38AA-2265C0, Intel Core Ultra 5 225(3.3GHz)","","","1262000","1257200","1257200","1483000","225800","2029.09.30"
"UP","주식회사 대우루컴즈","26062346","데스크톱컴퓨터, 대우루컴즈, DT38AB-2265C0, Intel Core Ultra 5 225(3.3GHz)","","","1262000","1262000","1262000","1483000","221000","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26060419","데스크톱컴퓨터, 에이텍컴퓨터, A5TC-3NBJN, Intel Core Ultra 5 225(3.3GHz)","","","1262000","1262000","1262000","1483000","221000","2029.09.30"
"SAME","주식회사 삼보컴퓨터","26063773","데스크톱컴퓨터, 삼보컴퓨터, DT281-GD51E-002, Intel Core Ultra 5 235(3.4GHz)","","","1266000","","",,"0","2029.09.30"
"SAME","주식회사 삼보컴퓨터","26063751","데스크톱컴퓨터, 삼보컴퓨터, DG481-GD51E-002, Intel Core Ultra 5 235(3.4GHz)","","","1266000","","",,"0","2029.09.30"
